region,woreda,date,acute_cases,roll_mean,roll_std,variability_factor
amhara,janamora,2023-04-01,3145.0,2815.3333333333335,673.39458467281,0.2391882256711378
amhara,janamora,2023-05-01,3933.0,3170.5,588.6893068503954,0.18567711933461453
amhara,janamora,2023-06-01,3054.0,3044.8333333333335,499.03683898752996,0.1638962742309475
amhara,janamora,2023-07-01,4533.0,3377.5,712.4509105896342,0.21094031401617594
amhara,janamora,2023-08-01,3101.0,3396.8333333333335,701.1540249236722,0.20641402038869697
amhara,janamora,2023-09-01,4652.0,3736.3333333333335,739.0133061499399,0.19779105347933087
amhara,janamora,2023-10-01,4582.0,3975.8333333333335,741.8920181985142,0.1866003818566793
amhara,janamora,2023-11-01,3242.0,3860.6666666666665,801.1386064013298,0.2075130218618537
amhara,janamora,2023-12-01,2978.0,3848.0,816.8894662070248,0.2122893623199129
amhara,janamora,2024-01-01,2298.0,3475.5,942.0487779303141,0.2710541729047084
amhara,janamora,2024-02-01,2988.0,3456.6666666666665,952.1089573502945,0.27544135699622796
amhara,janamora,2024-03-01,1878.0,2994.3333333333335,928.8069049413152,0.3101882127155678
amhara,janamora,2024-04-01,2152.0,2589.3333333333335,551.0174830862134,0.2128028384730484
amhara,janamora,2024-05-01,1995.0,2381.5,487.0711447006472,0.20452284052095202
amhara,janamora,2024-06-01,2684.0,2332.5,426.02335616723974,0.18264666931071372
amhara,janamora,2024-07-01,0.0,1949.5,1045.6300971184785,0.5363580903403327
amhara,janamora,2024-08-01,0.0,1451.5,1157.648953698831,0.7975535333784575
amhara,janamora,2024-09-01,0.0,1138.5,1267.903111440302,1.1136610552835327
amhara,janamora,2024-10-01,0.0,779.8333333333334,1227.6026094248355,1.5741858637634136
amhara,janamora,2024-11-01,0.0,447.3333333333333,1095.7384116050077,2.449489742783177
amhara,janamora,2024-12-01,0.0,0.0,0.0,
somali,east_imi,2019-01-01,0.0,,,
somali,east_imi,2019-02-01,0.0,,,
somali,east_imi,2019-03-01,0.0,0.0,0.0,
somali,east_imi,2019-04-01,0.0,0.0,0.0,
somali,east_imi,2019-05-01,0.0,0.0,0.0,
somali,east_imi,2019-06-01,0.0,0.0,0.0,
somali,east_imi,2019-07-01,0.0,0.0,0.0,
somali,east_imi,2019-08-01,0.0,0.0,0.0,
somali,east_imi,2019-09-01,0.0,0.0,0.0,
somali,east_imi,2019-10-01,0.0,0.0,0.0,
somali,east_imi,2019-11-01,0.0,0.0,0.0,
somali,east_imi,2019-12-01,0.0,0.0,0.0,
somali,east_imi,2020-01-01,0.0,0.0,0.0,
somali,east_imi,2020-02-01,0.0,0.0,0.0,
somali,east_imi,2020-03-01,0.0,0.0,0.0,
somali,east_imi,2020-04-01,0.0,0.0,0.0,
somali,east_imi,2020-05-01,0.0,0.0,0.0,
